@id,name,@lat,@lon
395407330,Free Bus - Stop 1,13.6787079,79.3507981
395407367,Free Bus - Stop 6,13.6725105,79.3490389
395733171,Free Bus - Stop 4,13.6731894,79.3511606
395733173,Free Bus - Stop 3,13.6739753,79.3510586
395733177,Free Bus - Stop 2,13.6764561,79.3507279
395733312,Free Bus - Stop 19,13.6865852,79.3497789
395733315,Free Bus - Stop 18,13.6869325,79.3485832
395733318,Free Bus - Stop 17,13.6856343,79.3457476
395733322,Free Bus - Stop 16,13.6851161,79.3440110
395733325,Free Bus - Stop 15,13.6840969,79.3438117
395733328,Free Bus - Stop 14,13.6829069,79.3434928
395733332,Free Bus - Stop 13,13.6808913,79.3403555
395733335,Free Bus - Stop 12,13.6791205,79.3417220
395733339,Free Bus - Stop 11,13.6788984,79.3429178
395733343,Free Bus - Stop 10,13.6784827,79.3444551
395733346,Free Bus - Stop 9,13.6795020,79.3461804
395733349,Free Bus - Stop 8,13.6800315,79.3489647
395733351,Free Bus - Stop 7,13.6767803,79.3481277
395733354,Free Bus - Stop 20,13.6853382,79.3508209
395733356,Papavinasanam  Free Bus - Stop 21,13.6845069,79.3514757
395733360,Free Bus - Stop 22,13.6819503,79.3502743
395733365,Free Bus - Stop 23,13.6808286,79.3506615
395733368,Free Bus - Stop 24,13.6789838,79.3507241
395733388,Free Bus - Stop 5,13.6719014,79.3511975
400900464,,13.0470241,80.2119327
400900776,,13.0489528,80.2071220
401769773,NGO Colony,12.9947061,80.2065370
401880679,Chinmaya Nagar,13.0627931,80.1971800
401880700,,13.0631192,80.1972144
401880712,Koyambedu Market,13.0692689,80.2006237
401880999,CMBT,13.0681190,80.2049305
402290952,,13.0694912,80.1243046
402292542,Puzhithivakkam,12.9738315,80.2033552
402292545,,13.0574894,80.2041542
405508932,Stella Maris,13.0480237,80.2540873
407981751,Luz Corner,13.0368855,80.2670356
407983130,,13.0374290,80.2646410
410293823,,13.0470929,80.2329094
410293824,,13.0477362,80.2330399
410613113,Mandaveli,13.0264512,80.2641778
410613378,,13.0251384,80.2651734
410614381,Mylapore Tank,13.0338433,80.2678513
410614397,Mylapore Tank,13.0339269,80.2680487
410615353,Luz Corner,13.0369967,80.2665843
411316688,Virugambakkam,13.0490005,80.1923804
412728360,Vivekananda College,13.0397952,80.2635513
413858335,,13.0352016,80.2704429
414712723,Royapettah Hospital,13.0546862,80.2641983
414712727,Royapettah Hospital,13.0546528,80.2644300
414713529,,13.0643489,80.2821764
414713705,,13.0656532,80.2837300
414713706,,13.0645078,80.2820391
414714010,,13.0645245,80.2837471
415884492,SRM University,12.8270288,80.0416894
415913900,,13.0700162,80.2420245
415913904,Chetpet,13.0704837,80.2421189
416412294,Luz Corner,13.0375277,80.2677619
416412351,,13.0378454,80.2675965
417750649,,13.0007984,80.2672903
417750654,Besant Nagar,12.9960874,80.2676685
418116038,Mandaveli Post Office,13.0293213,80.2661449
418116039,Devanathan Street,13.0288278,80.2638491
418116040,Mandaveli,13.0271960,80.2662430
418116041,,13.0248633,80.2651335
418116043,Narada Gana Sabha,13.0414805,80.2586885
418116044,Narada Gana Sabha,13.0417098,80.2590680
